Open Mic,Day,Start Time,Latest End Time,Venue Name,Borough,Neighborhood,Location,Venue type,Cost,Stage time,Sign-Up Instructions,Host(s) / Organizer,Changes/updates,Last verified,SMS,Other Rules,Help other comics! Leave reviews,unique identifier,,,,
The Grisly Pear Mic,Wednesday,5:00 PM,6:30 PM,The Grisly Pear Mic,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",Comedy Club,$7,5-7 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Wednesday-5:00 PM-@laughingbuddhacomedy,,,,
ComedyMicsGmail The Stand,Wednesday,5:00 PM,6:30 PM,The Stand,Manhattan,Union Square,"116 E 16th St, New York, NY 10003",Comedy Club,$5 & u get a drink ticket,5,Comedymics@gmail.com spots open Tuesday at 10 am,Josh Homer,comedymics@gmail.com,Unverified,#N/A,,,Wednesday-5:00 PM-comedymics@gmail.com,,,,
Producer's Club,Wednesday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Comedy Club,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/8 Malev,9177517544,,,Wednesday-5:00 PM-@micdupnyc,,,,
teachers lounge,Wednesday,5:30 PM,7:00 PM,Halyards,Brooklyn,Gowanus,"406 3rd Ave, Brooklyn, NY 11215, USA",Comedy Club,Free (buy smth at bar pls),,signup there,@paigemode @_timchilds,@teachersloungemic,Unverified,#N/A,,,Wednesday-5:30 PM-@teachersloungemic,,,,
fully charged,Wednesday,5:30 PM,7:00 PM,Starr bar,Brooklyn,Bushwick,"214 Starr St, Brooklyn, NY 11237, USA",Bar,Free (buy smth at bar pls),,signup there,,,Unverified,#N/A,,,Wednesday-5:30 PM-,,,,
Tiny Cupboard,Wednesday,5:30 PM,7:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Bar,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/8 Malev,#N/A,,,Wednesday-5:30 PM-@thetinycupboard,,,,
Comedy Village Open  Mic,Wednesday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Manhattan,"352 W 44th St, New York, NY 10036, USA",Comedy Club,$6 (includes a drink),5,Sign up form sent weekly via IG from @nataliedoescomedy and on FB,Natalie Gavilanes,@nataliedoescomedy,Verified tediously 5/8 Malev,#N/A,,,Wednesday-5:30 PM-@nataliedoescomedy,,,,
Greek Yogurt,Wednesday,5:45 PM,7:15 PM,Grove34,Queens,Astoria,"31-83 34th St, Astoria, NY 11106, USA",Comedy Club,"$4/4Min, Extra Min w/ Purchase)",4-7min,signup there,Chris Lopez and Javier Hernandez,"@greekyogurtcomedy, @lifeoflopez, @javi20hernandez",Verified 5/8 Malev,4079243899,,,"Wednesday-5:45 PM-@greekyogurtcomedy, @lifeoflopez, @javi20hernandez",,,,
(lgbtq + women) we wear pink,Wednesday,5:45 PM,7:15 PM,west side comedy club,Manhattan,UWS,"201 W 75th St, New York, NY 10023",Bar,Free (buy smth at bar pls),,signup there,Alex Kimedian and Patricia Dinglas,@wewearpinkcomedy,Unverified,#N/A,7 Min FREE Priority Spot Drawing for those who stay; Opens next mic. 30min+ Late Arrivals get 1 minute less. 16 person cap most nights.,,Wednesday-5:45 PM-@wewearpinkcomedy,,,,
wizman comedy,Wednesday,6:00 PM,7:30 PM,Alligator lounge,Brooklyn,Williamsburg,"600 Metropolitan Ave, Brooklyn, NY 11211, USA",Comedy Club,Free (buy smth at bar pls),,signup there,@RyanCiecwisz,@wizman.comedy,Unverified,#N/A,,,Wednesday-6:00 PM-@wizman.comedy,,,,
finite jest,Wednesday,6:00 PM,7:30 PM,Flop House Comedy Club,Brooklyn,Williamsburg,"362 Grand St, Brooklyn, NY 11211, USA",Comedy Club,Free (buy smth at bar pls),,signup there,Flop House host,@flophousecomedy,Verified 5/8 Malev,#N/A,,,Wednesday-6:00 PM-@flophousecomedy,,,,
the champs,Wednesday,6:00 PM,7:30 PM,Pine Box Rock Shop,Brooklyn,East Williamsburg,"12 Grattan St, Brooklyn, NY 11206, USA",Comedy Club,Free (buy smth at bar pls),,signup there,PineBox host,@pineboxrockshop,Unverified,#N/A,,,Wednesday-6:00 PM-@pineboxrockshop,,,,
Comedy Shop,Wednesday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,Alexis Ramirez @asapangry_,@thecomedyshopvillage,Verified tediously 5/8 Malev,#N/A,,,Wednesday-6:00 PM-@thecomedyshopvillage,,,,
Fear City Mic,Wednesday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Bar,$5,4 min,Comment on IG @thefearcitycomedyclub,Jonesy,@thefearcitycomedyclub,Verified 5/8 Malev,9707691563,,,Wednesday-6:00 PM-@thefearcitycomedyclub,,,,
Grisly Pear,Wednesday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012, USA",Bar,$5 cash,5,in person only,Shanon Harris,@shanonharrislive,Verified tediously 5/8 Malev,#N/A,,,Wednesday-6:00 PM-@shanonharrislive,,,,
*skips 5/7* Brainstorm Mic,Wednesday,6:00 PM,8:00 PM,Judy Z's,Manhattan,West Village,"1 7th Ave S, New York, NY 10014, USA",Bar,Free; purchase recommended.,3-5,in person only,"Alec Wirth, Steve Messner",@albandero,Verified 5/8 Malev,9172087444,,,Wednesday-6:00 PM-@albandero,,,,
Phoenix Bar,Wednesday,6:00 PM,7:45 PM,Phoenix Bar Avenue A,Manhattan,East Village,"447 E 13th St, New York, NY 10009, USA",Comedy Club,"1 drink min ($4 pineapple juice, really $3 with $1 tip)",5,in person only,Wayne Charles II,@phoenixcomedynyc,Verified 5/8 Malev,3476201026,,,Wednesday-6:00 PM-@phoenixcomedynyc,,,,
Producer's Club,Wednesday,6:00 PM,7:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Comedy Club,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/8 Malev,9177517544,,,Wednesday-6:00 PM-@micdupnyc,,,,
Flow State Mic,Wednesday,6:00 PM,7:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/8 Malev,#N/A,,,Wednesday-6:00 PM-@flowstatecomedy,,,,
QED Open Mic,Wednesday,6:00 PM,7:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105, USA",Coffee Shop,$5+ purchase,4 min,Sign up at 5:30,QED Staff,@qedastoria,Verified tediously 5/8 Malev,#N/A,,,Wednesday-6:00 PM-@qedastoria,,,,
EastVille Mic,Wednesday,6:30 PM,8:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,1 drink,5-7 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Wednesday-6:30 PM-@laughingbuddhacomedy,,,,
off menu,Wednesday,6:30 PM,8:00 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002, USA",Restaurant,Free (buy smth at bar pls),5,https://www.comediansontheloose.com/open-mics,Sonja Savanovic,@cotlcomedy,Verified tediously 5/8 Malev,#N/A,,,Wednesday-6:30 PM-@cotlcomedy,,,,
the ham mic,Wednesday,7:00 PM,8:30 PM,Fiction Bar,Brooklyn,East Williamsburg,"308 Hooper St, Brooklyn, NY 11211, USA",Bar,Free (buy smth at bar pls),,signup there,@ellistthomson and @mollymanier,@itsthehammic,Unverified,#N/A,,,Wednesday-7:00 PM-@itsthehammic,,,,
Freddy's mic,Wednesday,7:00 PM,9:30 PM,Freddy's Bar,Brooklyn,Greenwood,"627 5th Ave, Brooklyn, NY 11215",Bar,Free; purchase recommended.,5,in person only,Asif L./Mike H.,@fisacomedy,Verified 5/8 Malev,4044289418,,,Wednesday-7:00 PM-@fisacomedy,,,,
The Hump Day Soirée,Wednesday,7:00 PM,9:00 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221, USA",Bar,Free (pls buy a drink),5,"Show up, go up",Tyler Losier,@losierty13,Verified 5/8 Malev,9085316973,"Last Wednesday of every month is a showcase (no mic) - Next show 5/28. Also, we book the showcase from the mics each week!",,Wednesday-7:00 PM-@losierty13,,,,
Tiny Cupboard,Wednesday,7:00 PM,8:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Bar,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/8 Malev,#N/A,,,Wednesday-7:00 PM-@thetinycupboard,,,,
Caravan of Dreams,Wednesday,7:00 PM,9:30 PM,Caravan of Dreams,Manhattan,East Village,"405 E 6th St, New York, NY 10009, USA",Bar,$3 cash + 1item,5 minutes,https://slotted.co/yve9r1gg,Cooper Rego/Paola Dattner,@paoladattner,Verified tediously 5/8 Malev,#N/A,,,Wednesday-7:00 PM-@paoladattner,,,,
uncorked (4 girlies+queers),Wednesday,7:00 PM,8:30 PM,Tara Mor,Manhattan,Chelsea,150 W 30th Street,Bar,1 drink,4-5 min,e-barnyc.com/uncorked,@megsi_lee @eddie_estrada,@comics_uncorked,Verified 5/14 Malev,9253542292,,,Wednesday-7:00 PM-@comics_uncorked,,,,
Housewatch mic,Wednesday,7:00 PM,9:00 PM,Housewatch,Manhattan,East Village,"50 Avenue B, New York, NY 10009, USA",Comedy Club,1 drink,5,In person only,Hillary Schwartz / Max Ryan,@maxryancomedy,Verified 5/8 Malev,9178432386,,,Wednesday-7:00 PM-@maxryancomedy,,,,
Flow State Mic,Wednesday,7:00 PM,8:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/8 Malev,#N/A,,,Wednesday-7:00 PM-@flowstatecomedy,,,,
Bushwick Comedy Club,Wednesday,7:30 PM,8:00 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206, USA",Bar,2 item minimum,5,www.bushwickcomedy.com,Jad/Brooks/Kyle,@bushwickcomedyclub,Verified tediously 5/8 Malev,#N/A,only 10 comics per mic. Must stay the whole time. A booker for the club watches every mic.,,Wednesday-7:30 PM-@bushwickcomedyclub,,,,
death to all of them,Wednesday,7:30 PM,9:00 PM,Hell Phone,Brooklyn,Williamsburg,"inside Ange Noir Cafe, 247 Varet St, Brooklyn, NY 11206, USA",Bar,Free (buy smth at bar pls),,signup there,@courtneyrpeck @erica.l.green,@deathtoallofthem,Verified tediously 5/13 Malev,#N/A,,,Wednesday-7:30 PM-@deathtoallofthem,,,,
Suite Weekly Open Mic,Wednesday,7:30 PM,9:00 PM,NYC Suite Bar,Manhattan,UWS,"992 Amsterdam Ave, New York, NY 10025, USA",Comedy Club,One Drink Minimum,"5 minutes, up to 7 depending on sign-ups",Show Up to Go Up beginning at 7:15 PM,Peter Struckmeyer,@pstruck14 on Instagram - please follow me so I see your message!,Verified 5/8 Malev,7035990681,"Max 12 comedians, hard stop at 9 PM because the bar has karaoke after.",,Wednesday-7:30 PM-@pstruck14 on Instagram - please follow me so I see your message!,,,,
Producer's Club,Wednesday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Bar,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/8 Malev,9177517544,,,Wednesday-7:30 PM-@micdupnyc,,,,
sick hat / mic 2,Wednesday,7:45 PM,9:15 PM,Cobra Club,Brooklyn,East Williamsburg,"6 Wyckoff Ave, Brooklyn, NY 11237",Comedy Club,Free (buy smth at bar pls),3,signup there,Becky Granger,@Beckdaddyg insta,Verified tediously 5/8 Malev,#N/A,,,Wednesday-7:45 PM-@Beckdaddyg insta,,,,
Flow State Mic,Wednesday,8:00 PM,9:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/8 Malev,#N/A,,,Wednesday-8:00 PM-@flowstatecomedy,,,,
Brooklyn Dreams Mic,Wednesday,8:00 PM,10:00 PM,Brooklyn Dreams Juice Lounge,Brooklyn,Bushwick,"1276 Broadway, Brooklyn, NY 11221, USA",Comedy Club,$5,7,https://BKDreamsOpenMicA.eventbrite.com,Winz-35,@worldofwinz,Verified tediously 5/8 Malev,#N/A,,,Wednesday-8:00 PM-@worldofwinz,,,,
Tiny Cupboard,Wednesday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Bar,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Molly Levine,@thetinycupboard,Verified tediously 5/8 Malev,#N/A,,,Wednesday-8:30 PM-@thetinycupboard,,,,
*Monthly* external use only,Wednesday,9:00 PM,10:30 PM,Halyards,Brooklyn,Gowanus,"406 3rd Ave, Brooklyn, NY 11215, USA",Comedy Club,Free (buy smth at bar pls),,signup there,@michamilla @lonirubes,@externalusecomedy,Verified tediously 5/8 Malev,#N/A,,,Wednesday-9:00 PM-@externalusecomedy,,,,
*Show Dependent* 9or10 Fear City,Wednesday,9:00 PM,10:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$5,5,Find IG post about mic and comment on it: @thefearcitycomedyclub,Jonesy,@thefearcitycomedyclub,Verified 5/8 Malev,9707691563,,,Wednesday-9:00 PM-@thefearcitycomedyclub,,,,
QED Late Mic,Wednesday,9:15 PM,11:15 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105, USA",Comedy Club,$5+ purchase,4 min,Sign up at 9:30,QED Staff,@qedastoria,Verified tediously 5/8 Malev,#N/A,,,Wednesday-9:15 PM-@qedastoria,,,,
Soho Playhouse,Wednesday,9:30 PM,2:00 AM,Soho Playhouse,Manhattan,SoHo,"15 Vandam St, New York, NY 10013, USA",Comedy Club,$5,4 min,in person only,Jackson Sturkey,@thefinaljackson,Unverified,#N/A,2:00:00 AM but stops taking names for the bucket at midnight,,Wednesday-9:30 PM-@thefinaljackson,,,,
EastVille Guest Spot Mic,Wednesday,9:45 PM,11:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,1 drink,5-7 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Wednesday-9:45 PM-@laughingbuddhacomedy,,,,
Rodney's Laughing Buddha,Wednesday,9:45 PM,11:15 PM,Rodney's,Manhattan,UES,"557 Wendel Rd, Irwin, PA 15642, USA",Bar,$7,5-7 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Wednesday-9:45 PM-@laughingbuddhacomedy,,,,
Tiny Cupboard,Wednesday,10:00 PM,11:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Patrick O'Neil,@_patrick_oneill or @thetinycupboard,Verified 5/8 Malev,3475802379,,,Wednesday-10:00 PM-@_patrick_oneill or @thetinycupboard,,,,
Broadway Comedy Club,Thursday,3:00 PM,4:30 PM,Broadway Comedy Club,Manhattan,Hell's Kitchen,"318 W 53rd St, New York, NY 10019, USA",Comedy Club,$5,5,https://slotted.co/gig-mic,Audrey Mora,@industryroom,Verified 5/8 Malev,4344222525,,,Thursday-3:00 PM-Audrey Mora,,,,
Flow State Mic,Thursday,4:00 PM,5:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/8 Malev,#N/A,show up first go up first depending on the host,,Thursday-4:00 PM-Sesh Comedy,,,,
Comedy Shop,Thursday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified tediously 5/8 Malev,#N/A,show up first go up first depending on the host,,Thursday-4:00 PM-A comedy shop comic,,,,
Grisly Pear,Thursday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012, USA",Comedy Club,$5 cash,5,in person only,A grisly pear comic,@grislypear,Verified tediously 5/8 Malev,#N/A,winner gets $20 or booked on Hope's show,,Thursday-4:30 PM-A grisly pear comic,,,,
Laughing Buddha St. Marks,Thursday,4:30 PM,6:30 PM,St. Marks Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003, USA",Comedy Club,$6+ booking fee,5-7 min,https://www.laughingbuddhacomedy.com/mics,Josue Reveles,@Josue.Reveles_,Verified 5/8 Malev,6504307606,,,Thursday-4:30 PM-Josue Reveles,,,,
Flow State Mic,Thursday,5:00 PM,6:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/8 Malev,#N/A,show up first go up first depending on the host,,Thursday-5:00 PM-Sesh Comedy,,,,
Stand & Deliver,Thursday,5:00 PM,6:30 PM,The Stand,Manhattan,Union Square,"116 E 16th St, New York, NY 10003",Comedy Club,$5(drink ticket inc.),5-6 mins.,in person,Sabrina Piper/The Stand,@funnygirlwithtits,Verified 5/8 Malev,3057339482,,,Thursday-5:00 PM-Sabrina Piper/The Stand,,,,
Broadway Comedy Club,Thursday,5:00 PM,6:30 PM,Broadway Comedy Club,Manhattan,Hell's Kitchen,"318 W 53rd St, New York, NY 10019, USA",Comedy Club,$5,5,https://slotted.co/gig-mic,Audrey Mora,@industryroom,Verified 5/8 Malev,4344222525,,,Thursday-5:00 PM-Audrey Mora,,,,
The Grisly Pear Guest Spot Mic,Thursday,5:00 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019, USA",Comedy Club,$6+ booking fee,5-7 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Thursday-5:00 PM-Laughing Buddha Staff,,,,
*SKIPS 3/13 Unrighteous Comedy,Thursday,5:00 PM,6:00 PM,Comedy in Harlem,Manhattan,Harlem,"750A St Nicholas Ave, New York, NY 10031, USA",Comedy Club,$3+ 1 drink,5,Comedyinharlem.com,Laugh Pack Productions (Kaison and Sampson),@laughpackproductions,Verified 5/8 Malev,9732348388,show up first go up first depending on the host,,Thursday-5:00 PM-Laugh Pack Productions (Kaison and Sampson),,,,
Ocean Man Mic,Thursday,5:00 PM,6:45 PM,Pete's Candy Store,Brooklyn,Williamsburg,"709 Lorimer St, Brooklyn, NY 11211, USA",Bar,free,5,in person,David Marcoe,@marcoe1,Verified 5/8 Malev,5616992931,show up first go up first depending on the host,,Thursday-5:00 PM-David Marcoe,,,,
Producer's Club,Thursday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Theatre Space,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/8 Malev,9177517544,show up first go up first depending on the host,,Thursday-5:00 PM-Dee Major,,,,
Secret Pour,Thursday,5:00 PM,6:45 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221, USA",Bar,Free (buy smth at bar pls),3-6min,Sign up in person,Chase Allen,@seechaselounge insta,Unverified,#N/A,,,Thursday-5:00 PM-Chase Allen,,,,
Tiny Cupboard Fever Dream,Thursday,5:30 PM,7:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,1 item at bar min,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Alvaro Gamboa,@AlvaroJokesGamboa,Verified 5/8 Malev,7867125471,,,Thursday-5:30 PM-Alvaro Gamboa,,,,
*biweekly* LGBTQ Oh Craft! Beer mic,Thursday,5:30 PM,7:00 PM,Oh Craft Beer Harlem,Manhattan,Harlem,"1739 Amsterdam Ave, New York, NY 10031, USA",Bar,1 item at bar min,5,in person only,Freddy Valoy,@freddyvaloy,Verified 5/8 Malev,7043079795,,,Thursday-5:30 PM-Freddy Valoy,,,,
Comedy Village Open  Mic,Thursday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Hell's Kitchen,"352 W 44th St, New York, NY 10036, USA",Comedy Club,$6 (includes a drink),5,Sign up form sent weekly via IG from @nataliedoescomedy and on FB,Natalie Gavilanes,@nataliedoescomedy,Verified tediously 5/8 Malev,#N/A,,,Thursday-5:30 PM-Natalie Gavilanes,,,,
Rodney's Mic,Thursday,5:45 PM,7:15 PM,Rodney's Comedy Club,Manhattan,UES,"1118 1st Ave, New York, NY 10065",Comedy Club,$6+ booking fee,5-7 min,https://www.laughingbuddhacomedy.com/mics,Dan Inglese,@DanInglese insta,Verified 5/8 Malev,2489217998,,,Thursday-5:45 PM-Dan Inglese,,,,
Comedy Shop,Thursday,6:00 PM,7:30 PM,Comedy Shop,Brooklyn,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified tediously 5/8 Malev,#N/A,,,Thursday-6:00 PM-A comedy shop comic,,,,
EastVille Mic,Thursday,6:00 PM,7:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,$6+ booking fee,5-7 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Thursday-6:00 PM-@laughingbuddhacomedy,,,,
Gladys Simon Comic Strip,Thursday,6:00 PM,7:45 PM,Comic Strip Live,Brooklyn,UES,"1568 2nd Ave, New York, NY 10028, USA",Comedy Club,$14 with a free drink,5,email contagiouscomedyopenmic@gmail.com,Nicholle Kun,email contagiouscomedyopenmic@gmail.com,Verified 5/8 Malev,6463698611,,,Thursday-6:00 PM-email contagiouscomedyopenmic@gmail.com,,,,
Island Time Open MIc,Thursday,6:00 PM,6:30 PM,Mad Tropical,Brooklyn,Bushwick,"236 Troutman St, Brooklyn, NY 11237, USA",Bar,Free (Buy smth at bar pls),4 min,in person,Bob,@madtropicalnyc,Unverified,#N/A,,,Thursday-6:00 PM-@madtropicalnyc,,,,
Grisly Pear,Thursday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012, USA",Comedy Club,$5 cash,5,in person only,A grisly pear comic,@grislypear,Verified tediously 5/8 Malev,#N/A,,,Thursday-6:00 PM-@grislypear,,,,
Producer's Club,Thursday,6:00 PM,8:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Theatre Space,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/8 Malev,9177517544,,,Thursday-6:00 PM-@micdupnyc,,,,
Flow State Mic,Thursday,6:00 PM,7:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/8 Malev,#N/A,,,Thursday-6:00 PM-@flowstatecomedy,,,,
*1st/3rd* Sponsored mic,Thursday,5:30 PM,8:00 PM,Easy Lover BK,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211, USA",Bar,Free,4 min,Sign up in person,Amanda Vasco,@vscoa,Verified 5/8 Malev,3056322778,,,Thursday-5:30 PM-@vscoa,,,,
Fear City Mic,Thursday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$5,5,Comment on IG @thefearcitycomedyclub,Jonesy,@thefearcitycomedyclub,Verified 5/8 Malev,9707691563,,,Thursday-6:00 PM-@thefearcitycomedyclub,,,,
QED Open Mic,Thursday,6:00 PM,7:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105, USA",Comedy Club,$5+ purchase,4 min,Sign up at 5:30,QED Staff,@qedastoria,Verified tediously 5/8 Malev,#N/A,,,Thursday-6:00 PM-@qedastoria,,,,
Malev Phoenix Phoeedback,Thursday,6:05 PM,7:45 PM,Phoenix Bar Avenue A,Manhattan,East Village,"447 E 13th St, New York, NY 10009",Bar,"1 drink min ($4 pineapple juice, really $3 with $1 tip)",5,in person only,Adam Malev at Phoenix Bar,@phoenixcomedynyc,Verified 5/8 Malev,3476201026,,,Thursday-6:05 PM-@phoenixcomedynyc,,,,
Bushwick Comedy Club,Thursday,6:30 PM,7:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206, USA",Comedy Club,$5. (NO CASH),5,www.bushwickcomedy.com,Jad/Brooks/Kyle,@bushwickcomedyclub,Verified tediously 5/8 Malev,#N/A,only 10 comics per mic. Must stay the whole time. A booker for the club watches every mic.,,Thursday-6:30 PM-@bushwickcomedyclub,,,,
